id,text,label,departure,destination
3813,je cherche mon ami nathalie,INVALID,,
99183,Je cherche mon am iCharlotte,INVALID,,
80737,Je voudrais une pizza,INVALID,,
65674,Y a-t-il un billet à destination de Marcheprime ?,VALID,,Marcheprime
53670,je veux un trajet depuis marseillan plage vers moyeuvre-grande,VALID,Marseillan Plage,Moyeuvre-Grande
97104,réserve moi une place pour saint-geniès-de-malgoirès en provenance de annecy,VALID,Annecy,Saint-Geniès-de-Malgoirès
38743,C'est quoi le sens de la vie ?,INVALID,,
36888,Go puor un aller entre Oloron-Sainte-Marie et Pont-sur-Yonne,VALID,Oloron-Sainte-Marie,Pont-sur-Yonne
75154,billet Suresnes Mont Valérien deupis Montérolier - Buchy,VALID,Montérolier - Buchy,Suresnes Mont Valérien
1326,un train à destination de bandol partant de thourotte,VALID,Thourotte,Bandol
29763,un train pour Ingersheim - Cité Scolaire de Maurs,VALID,Maurs,Ingersheim - Cité Scolaire
41960,Rungis La Fraternelle - Beauvoisin,VALID,Rungis La Fraternelle,Beauvoisin
79114,villers-saint-paul - villefranche - vernet-les-bains,VALID,Villers-Saint-Paul,Villefranche - Vernet-les-Bains
7296,"je dois aller à épinay - villetaneuse t11 pour une réunion, je pars de boissise-le-roi",VALID,Boissise-le-Roi,Épinay - Villetaneuse T11
17626,homécourt - sainte-bazeilel,VALID,Homécourt,Sainte-Bazeille
67642,Pourriez-vous me trouver un TGV depuis Illiers-Combray au Ussel,VALID,Illiers-Combray,Ussel
65204,Sors-moi un aller entre Chevaigne et Moyeuvre-Grande,VALID,Chevaigné,Moyeuvre-Grande
20053,saint-rambert-en-bugey - saint-armel,VALID,Saint-Rambert-en-Bugey,Saint-Armel
65685,Dourges - Saillat - Chassenon,VALID,Dourges,Saillat - Chassenon
94687,Réserve moi une place pour Saint-Yrieix-la-Perche en provenance de Gargan,VALID,Gargan,Saint-Yrieix-la-Perche
86060,Pourriez-vous me trouver un TGV de Brazey-en-Plaine à Urçay - aL Perche,VALID,Brazey-en-Plaine,Urçay - La Perche
95189,quel etmps fait-il à bailleul-sir-berthoult ?,INVALID,,
8955,Strasbourg Roethig - Eu,VALID,Strasbourg Roethig,Eu
93016,train Remise à Jorelle Saint-Lothain,VALID,Remise à Jorelle,Saint-Lothain
8644,train L'Agile Bourron-Marlotte - Grez,VALID,L'Aigle,Bourron-Marlotte - Grez
91227,je voudrais une pizza,INVALID,,
28317,quels sont les un billet pour cheilly-lès-maranges ?,VALID,,Cheilly-lès-Maranges
98199,Sors-moi un train entre Morhange et Mérignac Arlac,VALID,Morhange,Mérignac Arlac
34769,je m'appelle puget-ville,INVALID,,
61399,Y a-t-il une place en direction de Terrasson-Lavilledieu ?,VALID,,Terrasson-Lavilledieu
48,réserve moi une place puor ceintrey en provenance de plancoët,VALID,Plancoët,Ceintrey
25302,Est-ce qu'il y a une place à destination de Gennevilliers ?,VALID,,Gennevilliers
89380,billet saint-remy-en-l'eau depuis châteaulin,VALID,Châteaulin,Saint-Remy-en-l'Eau
92980,Reserve moi une place pour Notre-Dame de Briancon en provenance de Mont de Terre,VALID,Mont de Terre,Notre-Dame de Briançon
7763,Sermizelles - Vézelay - Mouchard,VALID,Sermizelles - Vézelay,Mouchard
50060,billet la réole depuis roche-lez-beaupré,VALID,Roche-lez-Beaupré,La Réole
61629,dommartin - remiencourt - metzervisse,VALID,Dommartin - Remiencourt,Metzervisse
