id,text,label,departure,destination
0,affiche un billet entre lille et lyon,VALID,Lille,Lyon
1,Affiche un trajet entre Albert et Lille,VALID,Albert,Lille
2,je cherche mon ami sabine,INVALID,,
3,billet Paris depuis Albert,VALID,Albert,Paris
4,"bonjour margot, comment ca va ?",INVALID,,
5,billet toulouse depuis lyon,VALID,Lyon,Toulouse
6,"je dois aller a bordeaux pour une reunion, je pars de toulouse",VALID,Toulouse,Bordeaux
7,je voudrais une pizza,INVALID,,
8,La ville de Toulousee st belle,INVALID,,
9,un train en direction de lyon du cote de lille,VALID,Lille,Lyon
10,Affiche un TER entre Lyon et Toulouse,VALID,Lyon,Toulouse
11,j'aimerais un tgv en partant de marseille au obrdeaux,VALID,Marseille,Bordeaux
12,Je voudrais une pizza,INVALID,,
13,bordeaux - marseille,VALID,Bordeaux,Marseille
14,Réserve moi une place pour Toulouse en provenance de Lyon,VALID,Lyon,Toulouse
15,raconte moi une blague,INVALID,,
16,Albert - Paris,VALID,Albert,Paris
17,quels sont les un train au bordeaux ?,VALID,,Bordeaux
18,billet Toulouse depuis Bordeaux,VALID,Bordeaux,Toulouse
19,Quel temps fait-il a Marseille ?,INVALID,,
20,train Albert Lille,VALID,Albert,Lille
21,Je cherche mon ami Eugène,INVALID,,
22,a quelle heure part un voyage à lyon ?,VALID,,Lyon
23,c'est quoi le sens de la vie ?,INVALID,,
24,C'est quoi le sens de la vie ?,INVALID,,
25,un billet vers Lyon du côté de Paris,VALID,Paris,Lyon
26,réserve moi une place pour marseille en provenance de lyon,VALID,Lyon,Marseille
27,Reserve moi une place pour Marseille en provenance de Bordeaux,VALID,Bordeaux,Marseille
28,train touluose lyon,VALID,Toulouse,Lyon
29,Go pour un aller-simple entre Lille et Marseille,VALID,Lille,Marseille
30,je voudrais une pizza,INVALID,,
31,Je voudrais une pizza,INVALID,,
32,billet paris depuis bordeaux,VALID,Bordeaux,Paris
33,pourriez-vous me trouver une place de lille en direction de lyon,VALID,Lille,Lyon
34,Quel temps fait-il a Paris ?,INVALID,,
35,train albert marseille,VALID,Albert,Marseille
36,Existe-t-il un trajet en direction de Toulouse ?,VALID,,Toulouse
37,jec herche mon ami andré,INVALID,,
