sentence_id,sentence,intent,departure,destination,intermediate
S003433,Je veux me rendre a Le Genest-Saint-Isle en partant de Sommery,TRIP,Sommery,Le Genest-Saint-Isle,
S009674,aaaaaaaa,UNKNOWN,,,
S000042,Direction Pagny-le-Château au depart de Obermodern-Zutzendorf,TRIP,Obermodern-Zutzendorf,Pagny-le-Château,
S004435,Comment aller de Montbeliard a Aytre Plage,TRIP,Montbéliard,Aytré Plage,
S005545,j'aimerais un billet de la rivière-drugeon a strasbourg roethig,TRIP,La Rivière-Drugeon,Strasbourg Roethig,
S001882,Je voudrais aller de Ennevelin a Villers-Cotterêts,TRIP,Ennevelin,Villers-Cotterêts,
S005611,Voyage de Presles Courcelles a Saint-Julien-en-Genevois,TRIP,Presles Courcelles,Saint-Julien-en-Genevois,
S007778,je voudrais,NOT_TRIP,,,
S004322,Je pars de Avesnes-sur-Helpe pour aller a La Rochelle,TRIP,Avesnes-sur-Helpe,La Rochelle,
S004125,Je voudrais almer de Maisons-Alfort - Alforttville a Champagney,TRIP,Maisons-Alfort - Alfortville,Champagney,
S005487,Demain je pars de Verzeille pour Châbons,TRIP,Verzeille,Châbons,
S000603,Je vais de Cannes a Dannemarie,TRIP,Cannes,Dannemarie,
S007372,Mon ami Lyon va bien,NOT_TRIP,,,
S000468,Train de Brandérion a Beauvoisin,TRIP,Brandérion,Beauvoisin,
S002034,Depart de Brebières arrive a Groisy - Thorens-Glières,TRIP,Brebières,Groisy - Thorens-Glières,
S007887,Ok,NOT_TRIP,,,
S001055,Homécourt vers Les Flachères,TRIP,Homécourt,Les Flachères,
S002004,coignières voivres-lès-le-mans,TRIP,Coignières,Voivres-lès-le-Mans,
S005060,Je vais a Limoges Montjovis depuis Bauvin - Provin,TRIP,Bauvin - Provin,Limoges Montjovis,
S000871,bourges puis héricourt,TRIP,Bourges,Héricourt,
S000240,je voudrais prendre un train de saint-ay a vendeuvre-sur-barse,TRIP,Saint-Ay,Vendeuvre-sur-Barse,
S005089,partir de la tour-du-pin vers montrichard,TRIP,La Tour-du-Pin,Montrichard,
S003455,j'aimerais aller de montbéliard a oissel,TRIP,Montbéliard,Oissel,
S003252,j'aimerais un billet de prouvy - thiant a saint-bonnet-de-rochefort,TRIP,Prouvy - Thiant,Saint-Bonnet-de-Rochefort,
S007224,arriver,NOT_TRIP,,,
S006994,Je voudrais aller de Vis à Marles a Boulogne Tintelleries en passant par Foucart - Alvimare,TRIP,Vis à Marles,Boulogne Tintelleries,Foucart - Alvimare
S001862,Un train de Chaville - Vélizy a Les Versannes pour demain,TRIP,Chaville - Vélizy,Les Versannes,
S000949,Ce soir je vais de Paris Montparnasse a Montendre,TRIP,Paris Montparnasse,Montendre,
S003979,Prendre le train de Mommenheim a Roubaixx,TRIP,Mommenheim,Roubaix,
S009495,Ich mochte von Paris nach Lyon fahren,NOT_FRENCH,,,
S000367,Je veux prendre le train de Sarcelles - Saint-Brice a Sierck-les-Bains,TRIP,Sarcelles - Saint-Brice,Sierck-les-Bains,
S002354,Prendre le train de Les Clairières de Verneuil a Saint-Julien-en-Genevois,TRIP,Les Clairières de Verneuil,Saint-Julien-en-Genevois,
S001205,Je vais de Courcay - Tauxigny a Pont de Lignon,TRIP,Courcay - Tauxigny,Pont de Lignon,
S009503,   ,UNKNOWN,,,
S001429,Je voudrais aller de La Bastide - Saint-Laurent-les-Bains a Homécourt,TRIP,La Bastide - Saint-Laurent-les-Bains,Homécourt,
S006421,de miniac-morvan a saint-jean-de-maurienne arvan via loreux,TRIP,Miniac-Morvan,Saint-Jean-de-Maurienne Arvan,Loreux
S006169,je voudrais aller de mayet a bains-les-bains en passant par tarare,TRIP,Mayet,Bains-les-Bains,Tarare
