sentence_id,sentence,intent,language,departure,destination,intermediate
STT003839,Euh en fait de Pontgouein a Pont-Saint-Esprit,TRIP,FRENCH,Pontgouin,Pont-Saint-Esprit,
STT000940,Faut que j'aille de Le Creusot - Montceau-les-Mines - Montchanin TGV a Bueil,TRIP,FRENCH,Le Creusot - Montceau-les-Mines - Montchanin TGV,Bueil,
STT055280,Direct Neussargues,TRIP,FRENCH,,Neussargues,
STT071006,Belle-Isle - Bégard to Aubrives with a stop at Sausset-les-Pins,TRIP,ENGLISH,Belle-Isle - Bégard,Aubrives,Sausset-les-Pins
STT046817,Je je voudrais de Le Pouliguen à Lentilly Charpenay,TRIP,FRENCH,Le Pouliguen,Lentilly Charpenay,
STT098357,Don't bah forget to subscribe,NOT_TRIP,ENGLISH,,,
STT062944,C'est possible de passer par Munchhausen pour aller de Gambsheim a Angers Maître École,TRIP,FRENCH,Gambsheim,Angers Maître École,Munchhausen
STT073823,Je donc voudrais go hum to Redon,TRIP,UNKNOWN,,Redon,
STT098775,Buongiorno,NOT_TRIP,ITALIAN,,,
STT003523,QUanD PARt le prochaIn trAin de veYnes déVolUY a giveT,TRIP,FRENCH,Veynes Dévoluy,Givet,
STT055052,direkt courcellec-le-comte,TRIP,FRENCH,,Courcelles-le-Comte,
STT058131,faut que j'aille de éVry vAL de seine a moNtoir-dE-bretaGNe via vIa dissay.,TRIP,FRENCH,Évry Val de Seine,Montoir-de-Bretagne,Dissay
STT066881,Traveling from La Teste-de-Buch to Le [annonce] Stade,TRIP,ENGLISH,La Teste-de-Buch,Le Stade,
STT064492,Je veux passer par Mullerhof pour aller de Loriol-sur-Drôme a Montbard.,TRIP,FRENCH,Loriol-sur-Drôme,Montbard,Mullerhof
STT028264,Auriez-vous un train de Wesserling a Bouaye,TRIP,FRENCH,Wesserling,Bouaye,
STT084438,Ou attendre le train,NOT_TRIP,FRENCH,,,
STT003181,Je pars de ... Villers-Cotterêts pour genre aller a Champs - bon Saint-Bris,TRIP,FRENCH,Villers-Cotterêts,Champs - Saint-Bris,
STT059223,Trajet siorac-en-périgord montaudran achères ville,TRIP,FRENCH,Siorac-en-Périgord,Achères Ville,Montaudran
STT051883,Cinq-Mars-la-Pile - Laragne-Montéglin,TRIP,FRENCH,Cinq-Mars-la-Pile,Laragne-Montéglin,
STT053934,Hoffen puis Voiron,TRIP,FRENCH,Hoffen,Voiron,
STT047567,Mariage a Montmoreau je pars de Conflans-Sainte-Honorine,TRIP,FRENCH,Conflans-Sainte-Honorine,Montmoreau,
STT080507,Y a-t-il un restaurant,NOT_TRIP,FRENCH,,,
STT021259,Peu importe je veux aller a Saint-Cyr-en-Val La Source,TRIP,FRENCH,,Saint-Cyr-en-Val La Source,
STT049993,Bussac-Forêt,TRIP,FRENCH,,Bussac-Forêt,
STT005533,Rdv medical a Courthézon de Port-de-Piles,TRIP,FRENCH,Port-de-Piles,Courthézon,
STT040999,Week-end a Saint-Mariens - Saint-Yzan depuis Brignax.,TRIP,FRENCH,Brignac,Saint-Mariens - Saint-Yzan,
STT015121,Si possible de Le Pont-de-Claix a Grand Bourg,TRIP,FRENCH,Le Pont-de-Claix,Grand Bourg,
STT006934,C'est euh de Châteaulin a Champ de Mars Tour Eiffel,TRIP,FRENCH,Châteaulin,Champ de Mars Tour Eiffel,
STT067707,Ticket from Boulogne Tintelleries to Thésée please,TRIP,ENGLISH,Boulogne Tintelleries,Thésée,
STT095437,Le train est en retard,NOT_TRIP,FRENCH,,,
STT081920,Ou manger dans la gare,NOT_TRIP,FRENCH,,,
STT098794,Arrivederci,NOT_TRIP,ITALIAN,,,
STT049588,Caussade vers Rosny-sur-Seine,TRIP,FRENCH,Caussade,Rosny-sur-Seine,
STT020746,Steuplait Trilport Livron-sur-Drôme,TRIP,FRENCH,Trilport,Livron-sur-Drôme,
STT044699,Je dois me rendre a Montbarrey,TRIP,FRENCH,,Montbarrey,
STT042768,Je parss de Immhy pour ale a Rouillé,TRIP,FRENCH,Imphy,Rouillé,
STT087275,N'oubliez pas de vous abonner,NOT_TRIP,FRENCH,,,
STT055324,Audrieu - Avallon,TRIP,FRENCH,Audrieu,Avallon,
STT025203,Allez on y va de Vraincourt-Viéville a Bruyères-sur-Oise,TRIP,FRENCH,Vraincourt-Viéville,Bruyères-sur-Oise,
STT030323,rdv medical a rOmbas - clouange de dOmpierrE sEpt FonS,TRIP,FRENCH,Dompierre Sept Fons,Rombas - Clouange,
STT036139,Vite un train de La Marche a Lamotte-Beuvron,TRIP,FRENCH,La Marche,Lamotte-Beuvron,
STT067882,Round trip from Prades - Molitg-les-Bains to Deuil - Montmagny,TRIP,ENGLISH,Prades - Molitg-les-Bains,Deuil - Montmagny,
STT007782,Ca coute combien Bar-le-Duc Terrasson-Lavilledieu,TRIP,FRENCH,Bar-le-Duc,Terrasson-Lavilledieu,
STT086118,Qui es-tu,NOT_TRIP,FRENCH,,,
STT004236,Pour le travail je dois aller de Pommevic a Labergement-Sainte-Marie,TRIP,FRENCH,Pommevic,Labergement-Sainte-Marie,
STT046356,Direct Meurchin Beaugency,TRIP,FRENCH,Meurchin,Beaugency,
STT014224,Genre je pars de Sermaise pour aller a Cravant - Bazarnes,TRIP,FRENCH,Sermaise,Cravant - Bazarnes,
STT029703,Hop euh Invalides tu vois a alors Pins-Justaret,TRIP,FRENCH,Invalides,Pins-Justaret,
STT041409,Pour le boulot de Pont de Briques a Hoelssshloch,TRIP,FRENCH,Pont de Briques,Hoelschloch,
STT000848,Ah oui Arbanats Châlons-en-Champagne,TRIP,FRENCH,Arbanats,Châlons-en-Champagne,
STT023723,Je vais voir ma bah famille a Villers-Saint-Paul de Paris voila Montparnasse,TRIP,FRENCH,Paris Montparnasse,Villers-Saint-Paul,
STT027002,C'est loin La Ciotat - Ceyreste a Langeac,TRIP,FRENCH,La Ciotat - Ceyreste,Langeac,
STT052205,Direct Rosny-sous-Bois,TRIP,FRENCH,,Rosny-sous-Bois,
STT041897,Retour a Civrieux-d'Azergues depuis Villefranche - Vernet-les-Bains,TRIP,FRENCH,Villefranche - Vernet-les-Bains,Civrieux-d'Azergues,
STT017609,Bon ben Évry-Courcouronnes Montoir-de-Bretagne alors,TRIP,FRENCH,Évry-Courcouronnes,Montoir-de-Bretagne,
STT041411,Combien de temps de Teillé a Sablé-sur-Sarthe,TRIP,FRENCH,Teillé,Sablé-sur-Sarthe,
STT081570,Les billets sont chers,NOT_TRIP,FRENCH,,,
STT013577,Train de hmm Fourqueux - Bel-Air a enfin Vitry-en-Artois,TRIP,FRENCH,Fourqueux - Bel-Air,Vitry-en-Artois,
STT086839,Bonne soiree,NOT_TRIP,FRENCH,,,
STT062500,Je veux faire Vendôme - Villiers-sur-Loir TGV Épinay-sur-Seine T11 Raedersheim,TRIP,FRENCH,Vendôme - Villiers-sur-Loir TGV,Raedersheim,Épinay-sur-Seine T11
STT057223,De Gourland a Liverdun en passant par Saint-Julien-du-Sault,TRIP,FRENCH,Gourland,Liverdun,Saint-Julien-du-Sault
STT097810,Excuse me,NOT_TRIP,ENGLISH,,,
STT047851,Je phile de Cergy le Haut a Aumale,TRIP,FRENCH,Cergy le Haut,Aumale,
STT024450,ssombien de tempc de Portet Saintt-Simon a Aime - La Plagne,TRIP,FRENCH,Portet Saint-Simon,Aime - La Plagne,
STT049846,Méry-sur-Oise puis Besançon Viotte,TRIP,FRENCH,Méry-sur-Oise,Besançon Viotte,
STT004267,Hop Laboissière - Le Déluge à Brou,TRIP,FRENCH,Laboissière - Le Déluge,Brou,
STT051197,Janzé - Les Laumes Alésia,TRIP,FRENCH,Janzé,Les Laumes Alésia,
STT073307,Je voudrais go to Joué-lès-Tours,TRIP,UNKNOWN,,Joué-lès-Tours,
STT004830,Voila je veux aller de Thann a Vosves,TRIP,FRENCH,Thann,Vosves,
STT078008,Y a-t-il un restaurant,NOT_TRIP,FRENCH,,,
STT045924,Ce soir Pléchâtel a Turenne,TRIP,FRENCH,Pléchâtel,Turenne,
STT024034,C'est euh de Évry-Courcouronnes a Villiers-sur-Marne - Le Plessis-Trévise,TRIP,FRENCH,Évry-Courcouronnes,Villiers-sur-Marne - Le Plessis-Trévise,
STT057645,Hmm Fourqueux - Bel-Air puis euh Sathonay - Rillieux puis Saint-Médard-d'Eyrans,TRIP,FRENCH,Fourqueux - Bel-Air,Saint-Médard-d'Eyrans,Sathonay - Rillieux
STT091487,Je n'aime pas voyager,NOT_TRIP,FRENCH,,,
STT046644,On va a Pontchâteau,TRIP,FRENCH,,Pontchâteau,
STT001093,Style Valdahon Mulhouse Zu Rhein Tram-Train,TRIP,FRENCH,Valdahon,Mulhouse Zu Rhein Tram-Train,
STT032248,Euh en fait de Coat Guégan a Mareil-sur-Mauldre,TRIP,FRENCH,Coat Guégan,Mareil-sur-Mauldre,
STT031153,Je veux prendre le train de Pont-Saint-Esprit a Montreuil-sur-Ille,TRIP,FRENCH,Pont-Saint-Esprit,Montreuil-sur-Ille,
STT050115,Vers Bessancourt,TRIP,FRENCH,,Bessancourt,
STT007904,Y a-t-il un train de Marmagne a Béthune,TRIP,FRENCH,Marmagne,Béthune,
STT041444,Euh 1 train de valdahon a staffelfelden,TRIP,FRENCH,Valdahon,Staffelfelden,
STT025656,Urgence a Orry-la-Ville - Coye de Thann Centre,TRIP,FRENCH,Thann Centre,Orry-la-Ville - Coye,
STT052014,Vers tu vois Épinay hum - bah Villetaneuse,TRIP,FRENCH,,Épinay - Villetaneuse,
STT035957,En fait je vais de Cordemais a Bellevigny,TRIP,FRENCH,Cordemais,Bellevigny,
STT000226,Je me casse de Marquillies pour Castelnau-d'Estrétefonds,TRIP,FRENCH,Marquillies,Castelnau-d'Estrétefonds,
STT049252,Je vais jusqu'a couiza-montazels,TRIP,FRENCH,,Couiza-Montazels,
STT052756,Dardilly Les Mouilles puis Sallaumines,TRIP,FRENCH,Dardilly Les Mouilles,Sallaumines,
STT036864,Moi en fait je vais bon de Bandol a quoi Grande-Synthe,TRIP,FRENCH,Bandol,Grande-Synthe,
STT046690,Direction Brignoud au depart de Volvic,TRIP,FRENCH,Volvic,Brignoud,
STT037880,je veux me rendre a bah louvres euh en alors partant de shartres,TRIP,FRENCH,Chartres,Louvres,
STT006313,Je pars a Royat - Chamalières,TRIP,FRENCH,,Royat - Chamalières,
STT097492,Goodbye,NOT_TRIP,ENGLISH,,,
STT060641,De Brignoud a Neussargues via Marly-le-Roi,TRIP,FRENCH,Brignoud,Neussargues,Marly-le-Roi
STT081795,Y a-t-il du wifi,NOT_TRIP,FRENCH,,,
STT063193,Je voudrais euh de Cysoing a Sarlat-la-Canéda via La Rivière de Mansac,TRIP,FRENCH,Cysoing,Sarlat-la-Canéda,La Rivière de Mansac
STT044346,Je voudrais reserver de Bollwiller a Saint-Marcel,TRIP,FRENCH,Bollwiller,Saint-Marcel,
STT092119,Pouvez-vous m'aider,NOT_TRIP,FRENCH,,,
STT008673,Le meilleur trajet de Villiers - Neauphle - Pontchartrain a Plouigneau,TRIP,FRENCH,Villiers - Neauphle - Pontchartrain,Plouigneau,
STT069087,Going to Ranspach from Marvejols,TRIP,ENGLISH,Marvejols,Ranspach,
STT013094,pendant les fetes de bruyères-sur-oise a grande-synthe,TRIP,FRENCH,Bruyères-sur-Oise,Grande-Synthe,
STT097200,Hi,NOT_TRIP,ENGLISH,,,
STT032490,Je voudrais prendre un train de Bénestroff a Wallers,TRIP,FRENCH,Bénestroff,Wallers,
