id,text,label,departure,destination
0,Je cherche mon ami Valentine,INVALID,,
1,Je voudrais une pizza,INVALID,,
2,trouve-moi une place entre trémolat et le coudray-montceaux,VALID,Trémolat,Le Coudray-Montceaux
3,train anegrs maître école fontenay-le-fleury,VALID,Angers Maître École,Fontenay-le-Fleury
4,"bonjour monique, comment ca va ?",INVALID,,
5,je voudrais un epizza,INVALID,,
6,pourriez-vous me trouver un aller en partant de tonneins au aigueperse,VALID,Tonneins,Aigueperse
7,La ville de Caen est belle,INVALID,,
8,réserve moi une place pour louroux-de-bouble en provenance de barenton-bugny,VALID,Barenton-Bugny,Louroux-de-Bouble
9,tournus - la loupe,VALID,Tournus,La Loupe
10,billet Terrasson-Lavilledieu depuis Cavignac,VALID,Cavignac,Terrasson-Lavilledieu
11,je voudrais une pizza,INVALID,,
12,donne-moi un tgv entre la joux et le croisic,VALID,La Joux,Le Croisic
13,train guethary walbourg,VALID,Guéthary,Walbourg
14,a quelle heure part un trajet a destination de la frette - montigny ?,VALID,,La Frette - Montigny
15,vidauban - saint-hilaire - brizambourg,VALID,Vidauban,Saint-Hilaire - Brizambourg
16,je voudrais une pizza,INVALID,,
17,billet méroux depuis malansac,VALID,Malansac,Méroux
18,Je cherche un TGV depuis Pomas en direction de Sarcelles - Saint-Birce,VALID,Pomas,Sarcelles - Saint-Brice
19,Raconte moi une blague,INVALID,,
20,A quelle heure part un aller en direction de Elne ?,VALID,,Elne
21,billet caudrot depuis armentières,VALID,Armentières,Caudrot
22,trouve-moi un aller enrte marseillan plage et châtelaudren - plouagat,VALID,Marseillan Plage,Châtelaudren - Plouagat
23,réserve moi une place pour colmar mésanges en provenance de mrore,VALID,Morre,Colmar Mésanges
24,"bonjour nicole, comment ça va ?",INVALID,,
25,A quelle heure part un billet à destination de Lavilletertre ?,VALID,,Lavilletertre
26,J'aimerais un TER du côté de Dordives jusqu'à Perrignier,VALID,Dordives,Perrignier
27,un aller-simple vers le vert de maisons depuis gourdon,VALID,Gourdon,Le Vert de Maisons
28,réserve moi une place pour montigny - beauchamp en provenance de redon,VALID,Redon,Montigny - Beauchamp
29,"je dois aller à morez pour une réunion, je pars de biache-saint-vaast",VALID,Biache-Saint-Vaast,Morez
30,Il habite à Bourbourg,INVALID,,
31,billet lacourtensourt depuis la hutte coulombiers,VALID,La Hutte Coulombiers,Lacourtensourt
32,réserve moi une place pour folligny en prvoenance de saint-just-en-chaussée,VALID,Saint-Just-en-Chaussée,Folligny
33,raconte moi une blague,INVALID,,
34,J'aimerais un TGV depuis La Souterraien à Guignicourt,VALID,La Souterraine,Guignicourt
35,Quel temps fait-il à Valenciennes ?,INVALID,,
36,un billet a destination de pierrelatte venant de chaulnes,VALID,Chaulnes,Pierrelatte
37,a quelle heure part un billet à épinay-sur-seine ?,VALID,,Épinay-sur-Seine
38,billet mareil-sur-mauldre depuis plouigneau,VALID,Plouigneau,Mareil-sur-Mauldre
39,"Je dois aller à Namps - Quevauvillers pour une réunion, je pars de Chanteloup-les-Vignes",VALID,Chanteloup-les-Vignes,Namps - Quevauvillers
40,train chilly-mazari ngourland,VALID,Chilly-Mazarin,Gourland
41,La ville de Chepy-Valines est belle,INVALID,,
42,"je dois aller à étaples - le touquet pour une réunion, je pars de villennes-sur-seine",VALID,Villennes-sur-Seine,Étaples - Le Touquet
43,J'ai besoin de un billet partant de Croix - Wasquehal au Audrieu,VALID,Croix - Wasquehal,Audrieu
44,billet Don - Sainghin depuis Bidos,VALID,Bidos,Don - Sainghin
45,j'aimerais un voyage en partant de donjeux vers pessac,VALID,Donjeux,Pessac
46,Donne-moi un aller-simple entre Us et Biot,VALID,Us,Biot
47,Grigny le Sablon - Pont-l'Évêque,VALID,Grigny le Sablon,Pont-l'Évêque
48,réserve moi une place puor ceintrey en provenance de plancoët,VALID,Plancoët,Ceintrey
49,rceherche un train partant de gournay - ferrières jusqu'à chartres,VALID,Gournay - Ferrières,Chartres
50,train Fonatines-d'Ozillac Champagney,VALID,Fontaines-d'Ozillac,Champagney
51,train Reims Laigné - Saint-Gervias,VALID,Reims,Laigné - Saint-Gervais
52,je m'appelle cazères,INVALID,,
53,je m'appelle orchamps,INVALID,,
54,billet barjac depuis vert galant,VALID,Vert Galant,Barjac
55,Affiche un voyage entre Obernai et Aubazines - Saint-Hilaire,VALID,Obernai,Aubazines - Saint-Hilaire
56,Affiche un voyage entre Chindrieux et Laroche - Migennes,VALID,Chindrieux,Laroche - Migennes
57,C'est quoi le sens de la vie ?,INVALID,,
58,Réserve moi une place pour Lamothe-Montravel en provenance de Gironde-sur-Dropt,VALID,Gironde-sur-Dropt,Lamothe-Montravel
59,Y a-t-il un voyage vers Epanvilliers ?,VALID,,Épanvilliers
60,Quels sont les une liaison à Boves ?,VALID,,Boves
61,Affiche un TGV entre Fegersheim - Lipsheim et Achuex-Franleu,VALID,Fegersheim - Lipsheim,Acheux-Franleu
62,"je dois aller à orangis bois de l'épine pour une réunion, je pars de rodez",VALID,Rodez,Orangis Bois de l'Épine
63,train Saint-Vincent le Château Paris Montparnasse,VALID,Saint-Vincent le Château,Paris Montparnasse
64,Est-ce qu'il y a un TER jusqu'à Enghien-les-Bains ?,VALID,,Enghien-les-Bains
65,train romanèche-thorins briouze,VALID,Romanèche-Thorins,Briouze
66,Raconte moi une blague,INVALID,,
67,billet nieppe depuis monte-carlo country club,VALID,Monte-Carlo Country Club,Nieppe
68,donne-moi un tgv entre montfort-sur-meu et aéroport charles de gaulle 2 tgv,VALID,Montfort-sur-Meu,Aéroport Charles de Gaulle 2 TGV
69,billet Houdemont depuis Lison,VALID,Lison,Houdemont
70,Reserve moi une place pour Saint-Cheron en provenance de Biganos Facture,VALID,Biganos Facture,Saint-Chéron
71,Quels sont les un trajet en direction de Aubergenville Élisabethville ?,VALID,,Aubergenville Élisabethville
72,Go pour un aller-simple entre Sévérac-d'Aveyron et Denain,VALID,Sévérac-d'Aveyron,Denain
73,A quelle heure part un train à destination de Fenouillet-St-Alban ?,VALID,,Fenouillet-St-Alban
74,train Les Tines Chamelet,VALID,Les Tines,Chamelet
75,Affiche une liaison entre Givors Canal et Bellenaves,VALID,Givors Canal,Bellenaves
76,"je dois aller à lunel pour une réunion, je pars de manosque - gréoux-les-bains",VALID,Manosque - Gréoux-les-Bains,Lunel
77,quel temps fait-il à nœux-les-mines ?,INVALID,,
78,billet aiserey depuis rouille,VALID,Rouillé,Aiserey
79,"je dois aller à merrey pour une réunion, je pars de herny",VALID,Herny,Merrey
80,une place jusqu'a esquelbecq au depart de la crau,VALID,La Crau,Esquelbecq
81,un TGV a Vonnas au depart de Mezidon-Canon,VALID,Mézidon-Canon,Vonnas
82,Schwindratzheim - Sathonay - Rillieux,VALID,Schwindratzheim,Sathonay - Rillieux
83,Je souhaite un aller venant de Dirinon en direction de Herrlisheim-près-Colmar,VALID,Dirinon,Herrlisheim-près-Colmar
84,Réserve moi une place pour Gaillac en provenance de Saint-Pierre-sur-Dives,VALID,Saint-Pierre-sur-Dives,Gaillac
85,"Je dois aller a Farbus pour une reunion, je pars de Wavrin",VALID,Wavrin,Farbus
86,Y a-t-il un aller en direction de La Seyne - Six-Fours ?,VALID,,La Seyne - Six-Fours
87,train Quesnoy-sur-Deûle Grandvililers,VALID,Quesnoy-sur-Deûle,Grandvilliers
88,la ville de la chaussée-saint-victor est belle,INVALID,,
89,c'est quoi le sens de la vie ?,INVALID,,
90,trouve-moi une place entre issou - porcheville et barsac,VALID,Issou - Porcheville,Barsac
91,billet Vneerque - Vernet depuis Le Cailar,VALID,Le Cailar,Venerque - Vernet
92,Je cherche une place depuis Bussac-Foret en direction de Lyon Saint-Paul,VALID,Bussac-Forêt,Lyon Saint-Paul
93,je cherche mon ami anouk,INVALID,,
94,Cherche un TGV entre Baraqueville Carcenac Peyralès et Gannes,VALID,Baraqueville Carcenac Peyralès,Gannes
95,"Je dois aller à Landébia pour une réunion, je pars de Auxonne",VALID,Auxonne,Landébia
96,je voudrais une pizza,INVALID,,
97,kerhuon - réaumont - saint-cassien,VALID,Kerhuon,Réaumont - Saint-Cassien
98,la ville de saint-laurent-d'aigouze est belle,INVALID,,
99,Il habite à Laon,INVALID,,
100,réserve moi une place pour saint-aubin-sur-scie en provenance de bétaille,VALID,Bétaille,Saint-Aubin-sur-Scie
101,la ville de mericourt - ribemont est belle,INVALID,,
102,c'est quoi le sens de la vie ?,INVALID,,
103,je m'appelle les moussoux,INVALID,,
104,un train jusqu'a epinay - villetaneuse de harfleur-halte,VALID,Harfleur-Halte,Épinay - Villetaneuse
105,il me faut un billet depuis orleans jusqu'a breuillet - bruyeres-le-chatel,VALID,Orléans,Breuillet - Bruyères-le-Châtel
106,pourriez-vous me trouver un voyage de école-valentin au mennessis,VALID,École-Valentin,Mennessis
107,Pourriez-vous me trouver un TGV venant de Dannemarie à destination de Entzheim Aéroport,VALID,Dannemarie,Entzheim Aéroport
108,billet labege innopole depuis brive-la-gaillarde,VALID,Brive-la-Gaillarde,Labège Innopole
109,la ville de poednsac est belle,INVALID,,
110,Raconte moi une blague,INVALID,,
111,Go pour une place entre Le Creusot et Le Dramont,VALID,Le Creusot,Le Dramont
112,A quelle heure part un billet en direction de Feurs ?,VALID,,Feurs
113,goxwiller - chauny,VALID,Goxwiller,Chauny
114,train Vayrac Saint-Pierre-d'Albigny,VALID,Vayrac,Saint-Pierre-d'Albigny
115,quel temps fait-il à viviers-du-lac ?,INVALID,,
116,je souhaite une place de saint-sulpice - izon au savigny-le-temple - nandy,VALID,Saint-Sulpice - Izon,Savigny-le-Temple - Nandy
117,réserve moi une place pour noyon en provenance de mormant,VALID,Mormant,Noyon
118,"je dois aller à aigueperse pour une réunion, je pars de marcelcave",VALID,Marcelcave,Aigueperse
119,cerbère - pers,VALID,Cerbère,Pers
120,Recherche un train de Le Monastier-Pin-Mories a destination de Hachette,VALID,Le Monastier-Pin-Moriès,Hachette
121,Ria-Sirach - Pontcharra sur Bréda,VALID,Ria-Sirach,Pontcharra sur Bréda
122,réserve moi une place pour flaxlanden en provenance de saint-jean-d'angély,VALID,Saint-Jean-d'Angély,Flaxlanden
123,billet Mahcecoul depuis Saint-Astier,VALID,Saint-Astier,Machecoul
124,je m'appelle aéroport charles de gaulle 1,INVALID,,
125,train Mantes Statoin Luchon,VALID,Mantes Station,Luchon
126,billet Baillargues depuis Breuil - Romain,VALID,Breuil - Romain,Baillargues
127,train Pornichet Carbonne,VALID,Pornichet,Carbonne
128,Reserve moi une place pour Malain en provenance de Pont-de-l'Arche,VALID,Pont-de-l'Arche,Mâlain
129,Je cherche mon ami Alfred,INVALID,,
130,Donne-moi une place entre Les Bons Pères et Champagné,VALID,Les Bons Pères,Champagné
131,Sors-moi un trajet entre Gisors et Meursault,VALID,Gisors,Meursault
132,Donne-moi un billet entre Saint-Hilaire - Brizambourg et Saint-Priest,VALID,Saint-Hilaire - Brizambourg,Saint-Priest
133,billet Hoerdt depuis Nerpuy,VALID,Nerpuy,Hoerdt
134,sors-moi un billet entre arnèke et sury-le-comtal,VALID,Arnèke,Sury-le-Comtal
135,Quels sont les un aller-simple vers Bidos ?,VALID,,Bidos
136,réserve moi une place pour la mothe-achard en provenance de novillars,VALID,Novillars,La Mothe-Achard
137,go pour un aller entre clion-sur-seugne et joinville,VALID,Clion-sur-Seugne,Joinville
138,véretz - montlouis - bayon,VALID,Véretz - Montlouis,Bayon
139,Réserve moi une place pour Bailly en provenance de Sainte-Colombe,VALID,Sainte-Colombe,Bailly
140,Existe-t-il un billet en direction de Crest ?,VALID,,Crest
141,Quel tmeps fait-il à Saint-Saviol ?,INVALID,,
142,ej veux un aller-simple partant de broye à gevrey-chambertin,VALID,Broye,Gevrey-Chambertin
143,billet mérignac arlac depuis l'aiguille,VALID,L'Aiguille,Mérignac Arlac
144,Quel temps fait-il à Boussens ?,INVALID,,
145,c'est quoi le sens de la vie ?,INVALID,,
146,Distroff - Saint-Victor-l'Abbaye,VALID,Distroff,Saint-Victor-l'Abbaye
147,quel temps fait-il à saint-césaire ?,INVALID,,
