sentence_id,sentence,intent,language,departure,destination,intermediate
STT016181,Je dois aller de Amiens a Sainte-Anne,TRIP,FRENCH,Amiens,Sainte-Anne,
STT050718,Billet Chessy Blanquefort via Lourches,TRIP,FRENCH,Chessy,Blanquefort,Lourches
STT057967,Traveling from Les Yvris Noisy-le-Grand to Montdidier,TRIP,ENGLISH,Les Yvris Noisy-le-Grand,Montdidier,
STT070102,Les billets sont chers,NOT_TRIP,FRENCH,,,
STT051342,De Oyonnax a Thann via Montbrison,TRIP,FRENCH,Oyonnax,Thann,Montbrison
STT089831,Je ne sais pas,NOT_TRIP,FRENCH,,,
STT099615,   ,UNKNOWN,UNKNOWN,,,
STT063842,Un billete de Latour-de-Carol - Enveitg a Mareil-sur-Mauldre,TRIP,SPANISH,Latour-de-Carol - Enveitg,Mareil-sur-Mauldre,
STT056893,I need to travel from La Gorp to Wattignies - Templemars,TRIP,ENGLISH,La Gorp,Wattignies - Templemars,
STT049979,Je veux passer par Landébia enfin pour aller de Biache-Saint-Vaast a Blainville - Damelevières,TRIP,FRENCH,Biache-Saint-Vaast,Blainville - Damelevières,Landébia
STT002390,Moi j'ves de Guichen - Bourg-des-Comptes a Chorges,TRIP,FRENCH,Guichen - Bourg-des-Comptes,Chorges,
STT073900,Salut,NOT_TRIP,FRENCH,,,
STT017602,Je dois me rendre de...,TRIP,FRENCH,Nieul,Auvers-sur-Oise,
STT056996,Going to Faubourg d'Orléans from Hoffen,TRIP,ENGLISH,Hoffen,Faubourg d'Orléans,
STT065350,Rilly-la-Montagne luego Moult - Argences luego Corbehem,TRIP,SPANISH,Rilly-la-Montagne,Corbehem,Moult - Argences
STT016845,Jusqu'a Le Bouscat - Saint-Germaine,TRIP,FRENCH,,Le Bouscat - Saint-Germaine,
STT093510,Que hora es,NOT_TRIP,SPANISH,,,
STT023359,Peu importe je veux aller a Fourmies,TRIP,FRENCH,,Fourmies,
STT013768,Je dois rejoindre quelqu'un a Lyon Gorge de Loup de Thiers,TRIP,FRENCH,Thiers,Lyon Gorge de Loup,
STT053537,"je pars de étréchy, je passe par lizy-sur-ourcq et j'arrive a collioure",TRIP,FRENCH,Étréchy,Collioure,Lizy-sur-Ourcq
STT025998,Donc euh de Biot a [coupure],TRIP,FRENCH,Biot,Le Cailar,
STT075714,Aide moi,NOT_TRIP,FRENCH,,,
STT066086,Verbindung Lamanon Servoz,TRIP,GERMAN,Lamanon,Servoz,
STT080798,C'est quoi ce service,NOT_TRIP,FRENCH,,,
STT061127,A ticket from Montry - Condé to Donzère,TRIP,ENGLISH,Montry - Condé,Donzère,
STT046729,C'est loin Saint-Jean-de-Verges a Ecully - Tassin,TRIP,FRENCH,Saint-Jean-de-Verges,Ecully - Tassin,
STT078939,Le train est en retard,NOT_TRIP,FRENCH,,,
STT001578,En direction de Jassonneix,TRIP,FRENCH,,Jassonneix,
STT060075,I want a train from Château-l'Évêque to Laifour,TRIP,ENGLISH,Château-l'Évêque,Laifour,
STT022415,le PLus toT PossiblE [bruit] de école-vaLENtin a carmaux,TRIP,FRENCH,École-Valentin,Carmaux,
STT071561,Comment valider mon billet,NOT_TRIP,FRENCH,,,
STT082747,Le TGV va vite.,NOT_TRIP,FRENCH,,,
STT030705,Faut y aller de Pomas a Avallon,TRIP,FRENCH,Pomas,Avallon,
STT034544,Alors alors Bourg-Saint-Maurice a Frénouville - Cagny,TRIP,FRENCH,Bourg-Saint-Maurice,Frénouville - Cagny,
STT022393,"Enfin bref Chanteloup-les-Vignes, Beauvoisin",TRIP,FRENCH,Chanteloup-les-Vignes,Beauvoisin,
STT098307,Merci d'avoir regarde cette video,UNKNOWN,UNKNOWN,,,
STT088921,Il pleut dehors,NOT_TRIP,FRENCH,,,
STT017391,Cordialement de Bonson a Voreppe,TRIP,FRENCH,Bonson,Voreppe,
STT037110,Un billet de Clelles - Mens a Tarbes,TRIP,FRENCH,Clelles - Mens,Tarbes,
STT064374,Un billete de Ay a Nogent-le-Rotrou,TRIP,SPANISH,Ay,Nogent-le-Rotrou,
STT074099,Tu fais quoi,NOT_TRIP,FRENCH,,,
STT008024,Un p'tit train de Châteaulin a Saint-Jean-de-Maurienne Arvan,TRIP,FRENCH,Châteaulin,Saint-Jean-de-Maurienne Arvan,
STT043330,C'est loin lezennes a saint-louis la chaussée,TRIP,FRENCH,Lezennes,Saint-Louis La Chaussée,
