sentence_id,sentence,intent,language,departure,destination,intermediate
BASE061800,S'il vous plait de Saint-Yrieix-la-Perche a Pont-Remy via Pleyber-Christ,TRIP,FRENCH,Saint-Yrieix-la-Perche,Pont-Remy,Pleyber-Christ
BASE007436,Duree du trajet Saint-Laurent-de-la-Prée - Fouras a Trégonneau - Squiffiec,TRIP,FRENCH,Saint-Laurent-de-la-Prée - Fouras,Trégonneau - Squiffiec,
BASE074674,J'adore voyager,NOT_TRIP,FRENCH,,,
BASE048026,Lundi de Quimperlé a Couëron,TRIP,FRENCH,Quimperlé,Couëron,
BASE071659,Tren de La Douzillère a Belleville,TRIP,SPANISH,La Douzillère,Belleville,
BASE075948,Ou manger dans la gare,NOT_TRIP,FRENCH,,,
BASE037319,Je pars a Marcelcave,TRIP,FRENCH,,Marcelcave,
BASE057549,Pour le travail Mundolsheim a Chantonnay en passant par Vrigne-Meuse,TRIP,FRENCH,Mundolsheim,Chantonnay,Vrigne-Meuse
BASE076716,Copyright 2024,NOT_TRIP,FRENCH,,,
BASE098917,Per favore,NOT_TRIP,ITALIAN,,,
BASE038578,De Froncles Buxières jusqu'a Montluçon,TRIP,FRENCH,Froncles Buxières,Montluçon,
BASE096633,Thanks for watching,NOT_TRIP,ENGLISH,,,
BASE024651,On va de Aigueperse a Charbonnières-les-Bains,TRIP,FRENCH,Aigueperse,Charbonnières-les-Bains,
BASE057356,Je voudrais aller de Auchy-lès-Hesdin a Nogent-sur-Seine en passant par Saint-Martin du Touch,TRIP,FRENCH,Auchy-lès-Hesdin,Nogent-sur-Seine,Saint-Martin du Touch
BASE047764,Wesh Frénouville - Cagny a Druye,TRIP,FRENCH,Frénouville - Cagny,Druye,
BASE015143,Par ou passer de Fons - Saint-Mamert a Aspres-sur-Buëch,TRIP,FRENCH,Fons - Saint-Mamert,Aspres-sur-Buëch,
BASE080943,A quelle heure,NOT_TRIP,FRENCH,,,
BASE001897,Du coup Golfe Juan Vallauris vers Pagny-sur-Moselle,TRIP,FRENCH,Golfe Juan Vallauris,Pagny-sur-Moselle,
BASE091844,Je voyage bientot,NOT_TRIP,FRENCH,,,
BASE085968,Strasbourg et l'Alsace,NOT_TRIP,FRENCH,,,
BASE070413,From Pont-à-Vendin via Saint-Remy-en-l'Eau to Maizières-lès-Metz,TRIP,ENGLISH,Pont-à-Vendin,Maizières-lès-Metz,Saint-Remy-en-l'Eau
BASE004376,Hop Bègles a Montbazon,TRIP,FRENCH,Bègles,Montbazon,
BASE025160,Vite a Barr depuis Étampes,TRIP,FRENCH,Étampes,Barr,
BASE091676,Bonne journee,NOT_TRIP,FRENCH,,,
BASE096902,Hello,NOT_TRIP,ENGLISH,,,
BASE013163,Je file de Dijon a Combs-la-Ville - Quincy,TRIP,FRENCH,Dijon,Combs-la-Ville - Quincy,
BASE006392,Quelle ligne de Saint-Gilles Lycée Haut-Rhin a L'Aiguille,TRIP,FRENCH,Saint-Gilles Lycée Haut-Rhin,L'Aiguille,
BASE059499,Comment aller de Villefranche-sur-Saône a Vayres en passant par Bigny,TRIP,FRENCH,Villefranche-sur-Saône,Vayres,Bigny
BASE090626,Je veux aller,NOT_TRIP,FRENCH,,,
BASE073716,Please de Achiet-le-Grand a Labruguière,TRIP,UNKNOWN,Achiet-le-Grand,Labruguière,
BASE042958,Je veux me rendre a Pagny-le-Château en partant de La Penne-sur-Huveaune,TRIP,FRENCH,La Penne-sur-Huveaune,Pagny-le-Château,
BASE019673,Rdv medical a Chessy de Le Coudray-Montceaux,TRIP,FRENCH,Le Coudray-Montceaux,Chessy,
BASE075256,Vive le train,NOT_TRIP,FRENCH,,,
BASE053531,TGV Kerhostin,TRIP,FRENCH,,Kerhostin,
BASE079278,Ou manger dans la gare,NOT_TRIP,FRENCH,,,
BASE093730,Mon chat s'appelle Brest,NOT_TRIP,FRENCH,,,
BASE016170,M'faut un train de Saint-Rome-de-Cernon a Les Perrières,TRIP,FRENCH,Saint-Rome-de-Cernon,Les Perrières,
BASE029581,Il me faut un train de Les Cabannes a Sept-Saulx,TRIP,FRENCH,Les Cabannes,Sept-Saulx,
BASE053817,Lyon Gorge de Loup Barjac,TRIP,FRENCH,Lyon Gorge de Loup,Barjac,
BASE065080,Je veux passer par Morlaix pour aller de Saverne a Sées,TRIP,FRENCH,Saverne,Sées,Morlaix
BASE044241,Vite fait Saint-Georges-de-Commiers Angoulins sur Mer,TRIP,FRENCH,Saint-Georges-de-Commiers,Angoulins sur Mer,
BASE056366,Y a-t-il un train de Docelles-Cheniménil a Pont de Sallaumines via Baroncourt,TRIP,FRENCH,Docelles-Cheniménil,Pont de Sallaumines,Baroncourt
BASE088077,Je ne sais pas,NOT_TRIP,FRENCH,,,
BASE047601,Vite fait Mareil-Marly Marbache,TRIP,FRENCH,Mareil-Marly,Marbache,
BASE059903,Comment aller de Sénas a Landévant en passant par Vergèze - Codognan,TRIP,FRENCH,Sénas,Landévant,Vergèze - Codognan
BASE089825,Un billet pour,NOT_TRIP,FRENCH,,,
BASE099205,xyz,UNKNOWN,UNKNOWN,,,
BASE052554,Sevran Beaudottes - Charmes,TRIP,FRENCH,Sevran Beaudottes,Charmes,
BASE017479,Bonjour je voudrais aller de La Verrière a Pamiers,TRIP,FRENCH,La Verrière,Pamiers,
BASE073987,From Brest a Villiers-sur-Marne - Le Plessis-Trévise,TRIP,UNKNOWN,Brest,Villiers-sur-Marne - Le Plessis-Trévise,
BASE015829,J'aimerais aller de Merxheim a Crécy-la-Chapelle,TRIP,FRENCH,Merxheim,Crécy-la-Chapelle,
BASE074026,C'est tres bien,NOT_TRIP,FRENCH,,,
BASE025777,Partir de Noisy-le-Sec vers Thouaré-sur-Loire,TRIP,FRENCH,Noisy-le-Sec,Thouaré-sur-Loire,
BASE065602,Ben Veynes Dévoluy puis Harfleur puis Santeuil - Le Perchay,TRIP,FRENCH,Veynes Dévoluy,Santeuil - Le Perchay,Harfleur
BASE078556,Je voudrais,NOT_TRIP,FRENCH,,,
