sentence_id,sentence,intent,language,departure,destination,intermediate
STT009449,Siouplait de Le Blanc-Mesnil a L'Ariane La Trinité,TRIP,FRENCH,Le Blanc-Mesnil,L'Ariane La Trinité,
STT056650,From Gunsbach - Griesbach to Viaduc Sainte-Marie,TRIP,ENGLISH,Gunsbach - Griesbach,Viaduc Sainte-Marie,
STT003593,Je veux prendre le train de Besançon Viotte a La Ferté-Bernard,TRIP,FRENCH,Besançon Viotte,La Ferté-Bernard,
STT056728,I need a ticket from Nancy to Montbarrey,TRIP,ENGLISH,Nancy,Montbarrey,
STT035564,ben je veux... enfein je voudrais allez de vitry-sur-seine a villefort,TRIP,FRENCH,Vitry-sur-Seine,Villefort,
STT069457,I want aller a Morvillars,TRIP,UNKNOWN,,Morvillars,
STT070592,A bas les retards,NOT_TRIP,FRENCH,,,
STT090763,Hello,NOT_TRIP,ENGLISH,,,
STT087442,C'est trop cher,NOT_TRIP,FRENCH,,,
STT081064,J'habite a Nantes depuis toujours,NOT_TRIP,FRENCH,,,
STT024160,Urgent de Groisy - Thorens-Glières a Virieu sur Bourbre,TRIP,FRENCH,Groisy - Thorens-Glières,Virieu sur Bourbre,
STT059283,I'm going from Orléans to Marseille Saint-Charles,TRIP,ENGLISH,Orléans,Marseille Saint-Charles,
STT016593,Ca coute combien saint-nabord dourdan la forêt,TRIP,FRENCH,Saint-Nabord,Dourdan La Forêt,
STT071424,Aller,NOT_TRIP,FRENCH,,,
STT033885,Partir de Saint-Médard-de-Guizières pour Lycée Henri Sellier,TRIP,FRENCH,Saint-Médard-de-Guizières,Lycée Henri Sellier,
STT033476,Ce coir Milhaud a Feuquières - Broquiers,TRIP,FRENCH,Milhaud,Feuquières - Broquiers,
STT047956,Y a-t-il un un train de Sin-le-Noble a Solignac - Le Vigen via Stade de France Saint-Denis,TRIP,FRENCH,Sin-le-Noble,Solignac - Le Vigen,Stade de France Saint-Denis
STT041941,Bonjour un billet de phlez-Cuzy - Tann.,TRIP,FRENCH,Flez-Cuzy - Tannay,Bully - Grenay,
STT069728,Je veux a train to Vendeuvre-sur-Barse,TRIP,UNKNOWN,,Vendeuvre-sur-Barse,
STT089914,Nancy est ma soeur,NOT_TRIP,FRENCH,,,
STT009796,Visite a La Jarrie je pars de Ossès - Saint-Martin-d'Arrossa,TRIP,FRENCH,Ossès - Saint-Martin-d'Arrossa,La Jarrie,
STT069330,I want partir de Wambaix,TRIP,UNKNOWN,Wambaix,Clermont de l'Oise,
STT075310,Dijon c'est la moutarde,NOT_TRIP,FRENCH,,,
STT023214,Je voudrais reserver de Frynaudour a Varetz,TRIP,FRENCH,Frynaudour,Varetz,
STT041799,Urgent de Brive-la-Gaillarde a Boulainvilliers,TRIP,FRENCH,Brive-la-Gaillarde,Boulainvilliers,
STT017374,Merci de me trouver un trajet de Château-Renault a Mamirolle,TRIP,FRENCH,Château-Renault,Mamirolle,
STT072165,Repete,NOT_TRIP,FRENCH,,,
STT050539,En gros Saint-Mars-la-Brière a Cazères via Sorgues - Châteauneuf-du-Pape,TRIP,FRENCH,Saint-Mars-la-Brière,Cazères,Sorgues - Châteauneuf-du-Pape
STT006872,Voyage de Varennes-sur-Allier a Chars,TRIP,FRENCH,Varennes-sur-Allier,Chars,
STT082762,Quel temps fait-il,NOT_TRIP,FRENCH,,,
STT005174,Quel TER de Saint-Patrice a Colombes,TRIP,FRENCH,Saint-Patrice,Colombes,
STT027343,Bref Malesherbes a Seugy,TRIP,FRENCH,Malesherbes,Seugy,
STT034536,Tu vois je veux aller de saint-mzrs la brière a achiet-le-grand,TRIP,FRENCH,Saint-Mars-la-Brière,Achiet-le-Grand,
STT077128,Hello,NOT_TRIP,FRENCH,,,
STT002979,Allez hop from Chambourg-sur-Indre a Chaux-des-Crotenay,TRIP,FRENCH,Chambourg-sur-Indre,Chaux-des-Crotenay,
STT019968,Je peux avoir un billet de Bedous a Gresswiller,TRIP,FRENCH,Bedous,Gresswiller,
STT087669,Pardon,NOT_TRIP,FRENCH,,,
STT095679,[musique],UNKNOWN,UNKNOWN,,,
STT073087,J'aime les trains,NOT_TRIP,FRENCH,,,
STT025989,Genre Beauvoir-sur-Niort Ponthierry - Pringy quoi,TRIP,FRENCH,Beauvoir-sur-Niort,Ponthierry - Pringy,
STT010204,Il y a des trains de Issy Val de Seine a Sceaux - Boëssé,TRIP,FRENCH,Issy Val de Seine,Sceaux - Boëssé,
STT090268,Hello,NOT_TRIP,ENGLISH,,,
STT001447,Langeais Vielmur-sur-Agout,TRIP,FRENCH,Langeais,Vielmur-sur-Agout,
STT008271,Week-end a Ancy-sur-Moselle frompuis Carry-le-Rouet,TRIP,FRENCH,Carry-le-Rouet,Ancy-sur-Moselle,
STT069538,Un ticket from Mionnay to Plerguer,TRIP,UNKNOWN,Mionnay,Plerguer,
STT064138,Salida Imphy llegada Sedan,TRIP,SPANISH,Imphy,Sedan,
STT012258,Juste Trilport Verneuil-sur-Avre,TRIP,FRENCH,Trilport,Verneuil-sur-Avre,
STT052765,S'il vous plait de Nort-sur-Erdre a Arbanats via Méru,TRIP,FRENCH,Nort-sur-Erdre,Arbanats,Méru
STT085479,Nancy est ma soeur,NOT_TRIP,FRENCH,,,
STT068823,Treno da Seyssel - Corbonod a Lalinde,TRIP,ITALIAN,Seyssel - Corbonod,Lalinde,
STT069560,I want aller a Thiviers,TRIP,UNKNOWN,,Thiviers,
STT050485,Train de Lutzelhouse a Benfeld passant par Mitry - Claye,TRIP,FRENCH,Lutzelhouse,Benfeld,Mitry - Claye
STT005906,Urgent de Pibrac a Pont de de Bois,TRIP,FRENCH,Pibrac,Pont de Bois,
STT076802,Je suis perdu,NOT_TRIP,FRENCH,,,
STT015523,Comment dire euh Avenue Foch vers Poix-Terron,TRIP,FRENCH,Avenue Foch,Poix-Terron,
STT039462,Ok donc La Taye vers La Garenne-Colombes,TRIP,FRENCH,La Taye,La Garenne-Colombes,
STT006108,Quantd part le prochain traing de Laval à Saint-Maurice-de-Beynost,TRIP,FRENCH,Laval,Saint-Maurice-de-Beynost,
STT052395,"S'il vous, plait de Remiremont a Bonnemain via Fellering",TRIP,FRENCH,Remiremont,Bonnemain,Fellering
STT092205,Can you help me,NOT_TRIP,ENGLISH,,,
STT065932,Verbindung Quédillac Darsac,TRIP,GERMAN,Quédillac,Darsac,
STT093797,Danke,NOT_TRIP,GERMAN,,,
STT016301,Euh billet Quiberon Valdahon Camp Militaire,TRIP,FRENCH,Quiberon,Valdahon Camp Militaire,
STT042322,comment dire euh grand bourg vers le vert de maisons,TRIP,FRENCH,Grand Bourg,Le Vert de Maisons,
STT070708,"Ou est, la sortie",NOT_TRIP,FRENCH,,,
STT066302,Von Ribécourt-Dreslincourt nach Riom - Châtel-Guyon bitte,TRIP,GERMAN,Ribécourt-Dreslincourt,Riom - Châtel-Guyon,
STT071348,Le voyage c'est la vie,NOT_TRIP,FRENCH,,,
STT085541,Je n'aime pas voyager,NOT_TRIP,FRENCH,,,
STT086778,Je vous en prie,NOT_TRIP,FRENCH,,,
STT099714,,UNKNOWN,UNKNOWN,,,
STT078981,Parle plus fort,NOT_TRIP,FRENCH,,,
STT075095,Pourquoi c'est si cher,NOT_TRIP,FRENCH,,,
STT055719,De Coulommiers a Saint-Florent-sur-Cher via Massy Europe,TRIP,FRENCH,Coulommiers,Saint-Florent-sur-Cher,Massy Europe
STT095734,nanana,UNKNOWN,UNKNOWN,,,
STT068161,Da Sallanches - Combloux - Megève a Bazancourt per favore,TRIP,ITALIAN,Sallanches - Combloux - Megève,Bazancourt,
STT081467,Pouvez-vous ouais m'aider,NOT_TRIP,FRENCH,,,
STT067741,Zug von Liévin nach Le Bouscat - Saint-Germaine uber Le Havre,TRIP,GERMAN,Liévin,Le Bouscat - Saint-Germaine,Le Havre
STT062584,From Chevaigné via Pornic to Cagnes-sur-Mer,TRIP,ENGLISH,Chevaigné,Cagnes-sur-Mer,Pornic
STT062834,I need to go from Étigny - Véron to Tourcoing passing through Saint-Léonard-de-Noblat,TRIP,ENGLISH,Étigny - Véron,Tourcoing,Saint-Léonard-de-Noblat
STT046276,Il me faut un train de Capvern a Guichen - Bourg-des-Comptes,TRIP,FRENCH,Capvern,Guichen - Bourg-des-Comptes,
STT022171,Le plus tot possible de Versigny a Loison-sous-Lens,TRIP,FRENCH,Versigny,Loison-sous-Lens,
STT070938,Je prefere le train,NOT_TRIP,FRENCH,,,
STT076471,Coucou,NOT_TRIP,FRENCH,,,
STT018451,N'oubliez pas de vous abonner. quand part le proChain trAIn De quimpeR a digoIn,TRIP,FRENCH,Quimper,Digoin,
STT000963,On va de Toulon Sainte-Musse a Thourotte,TRIP,FRENCH,Toulon Sainte-Musse,Thourotte,
STT081210,Nancy est ma ma soeur,NOT_TRIP,FRENCH,,,
STT058957,Going to Tarbes from Esvres sur Indre,TRIP,ENGLISH,Esvres sur Indre,Tarbes,
STT085764,Bonsoir,NOT_TRIP,FRENCH,,,
STT033217,Voyage de Lamotte-Beuvron a Tournemire - Roquefort,TRIP,FRENCH,Lamotte-Beuvron,Tournemire - Roquefort,
STT007513,Merci de me trouver un trajet de Podensac a Ourscamp,TRIP,FRENCH,Podensac,Ourscamp,
STT036392,J'aimerais bien aller de Clermont La Pardieu a Granville,TRIP,FRENCH,Clermont La Pardieu,Granville,
STT029560,euh billet billet ham-en-artois romanèche-thorins,TRIP,FRENCH,Ham-en-Artois,Romanèche-Thorins,
STT001673,Euh billet Coulommiers Le Toec,TRIP,FRENCH,Coulommiers,Le Toec,
STT077991,Le train est en retard,NOT_TRIP,FRENCH,,,
STT097563,qwerty,UNKNOWN,UNKNOWN,,,
STT058204,Is there a train from Sainte-Lizaigne to Mionnay,TRIP,ENGLISH,Sainte-Lizaigne,Mionnay,
STT093837,Tschuss,NOT_TRIP,GERMAN,,,
STT042413,Intercites pour Meulan - Hardricourt,TRIP,FRENCH,,Meulan - Hardricourt,
STT078238,C'est nul,NOT_TRIP,FRENCH,,,
STT048940,urgeNt de chorGeS a munsTer Badischhof vIa le creusot - montcEau-les-mines - montchaniN tgv,TRIP,FRENCH,Chorges,Munster Badischhof,Le Creusot - Montceau-les-Mines - Montchanin TGV
STT091097,Can you help me,NOT_TRIP,ENGLISH,,,
STT061721,Take me from Vittel to Paris Montparnasse,TRIP,ENGLISH,Vittel,Paris Montparnasse,
STT031822,Voyager de Gien vers vers Labège Innopole,TRIP,FRENCH,Gien,Labège Innopole,
STT024438,Direct Lumes,TRIP,FRENCH,,Lumes,
STT089364,Un train,NOT_TRIP,FRENCH,,,
STT028223,euh en fait de saint-jean-de-maurienne arvan a saint-gilles-croix-de-vie,TRIP,FRENCH,Saint-Jean-de-Maurienne Arvan,Saint-Gilles-Croix-de-Vie,
STT090715,Thanks,NOT_TRIP,ENGLISH,,,
STT008658,Je peux avoir un billet de Bar-sur-Aube a Villabé,TRIP,FRENCH,Bar-sur-Aube,Villabé,
STT077786,Je suis ne a Lille,NOT_TRIP,FRENCH,,,
STT059816,I want to go from Maurecourt to Salbris,TRIP,ENGLISH,Maurecourt,Salbris,
STT044439,Bonjour un billet de de Felletin a Vignols-St-Solve s'il vous plait,TRIP,FRENCH,Felletin,Vignols-St-Solve,
STT053238,Euh alors de Moûtiers - Salins - Brides-les-Bains a Varilhes euh en passant par Le Poirier Université,TRIP,FRENCH,Moûtiers - Salins - Brides-les-Bains,Varilhes,Le Poirier Université
STT046611,Y a-t-il un train de Joinville a Paris hmm Gare du Nord,TRIP,FRENCH,Joinville,Paris Gare du Nord,
STT026904,Ah Villefranche - Vernet-les-Bains vers Les Mureaux,TRIP,FRENCH,Villefranche - Vernet-les-Bains,Les Mureaux,
STT062437,Ticket from Cergy Saint-Christophe to Fontenoy-sur-Moselle stopping at Plaisir - Les Clayes,TRIP,ENGLISH,Cergy Saint-Christophe,Fontenoy-sur-Moselle,Plaisir - Les Clayes
STT079380,Quand arrive le prochain train,NOT_TRIP,FRENCH,,,
STT011067,Par ou passer de Belle-Isle - Bégard a Penthièvre,TRIP,FRENCH,Belle-Isle - Bégard,Penthièvre,
STT006021,Direct Thiers Avenue Foch,TRIP,FRENCH,Thiers,Avenue Foch,
STT017065,"Pour le travail, je dois ale de Longueil-Sainte-Marie a Versailles Chantiers",TRIP,FRENCH,Longueil-Sainte-Marie,Versailles Chantiers,
STT083852,Strasbourg et [coupure],NOT_TRIP,FRENCH,,,
STT000611,Est-ce qu'il y a un train de Bellignat a Chamonix Aiguille du Midi,TRIP,FRENCH,Bellignat,Chamonix Aiguille du Midi,
STT013722,Je peux avoir un billet de Veynes Dévoluy a Boissy-l'Aillerie,TRIP,FRENCH,Veynes Dévoluy,Boissy-l'Aillerie,
STT085203,Le train c'est mieux que l'avion,NOT_TRIP,FRENCH,,,
STT060097,I want a train from Aguilcourt - Variscourt to Chabris,TRIP,ENGLISH,Aguilcourt - Variscourt,Chabris,
STT078204,Nancy et ma soeur,NOT_TRIP,FRENCH,,,
STT082734,"uN en, fait Train",NOT_TRIP,FRENCH,,,
STT064205,Por favor de Mignaloux - Nouaillé a Saint-Gaudens,TRIP,SPANISH,Mignaloux - Nouaillé,Saint-Gaudens,
STT038240,Le prix pour Gimont Cahuzac Brest,TRIP,FRENCH,Gimont Cahuzac,Brest,
STT080467,J'aime les trains,NOT_TRIP,FRENCH,,,
STT090211,What time is it,NOT_TRIP,ENGLISH,,,
STT017717,Moi j'vais de Tarascon a Dordives,TRIP,FRENCH,Tarascon,Dordives,
STT057564,From Angers Saint-Laud to Neuvic,TRIP,ENGLISH,Angers Saint-Laud,Neuvic,
STT078884,Au revoir,NOT_TRIP,FRENCH,,,
STT061937,I'm going from Port-la-Nouvelle to Assier,TRIP,ENGLISH,Port-la-Nouvelle,Assier,
STT029565,Genre je pars de L'Isle-sur-le-Doubs pour aller a Luc,TRIP,FRENCH,L'Isle-sur-le-Doubs,Luc,
STT039634,"Bref Aubazines, - Saint-Hilaire a Saint-Martin-d'Oney",TRIP,FRENCH,Aubazines - Saint-Hilaire,Saint-Martin-d'Oney,
STT069531,I want partir de Villers-Cotterêts,TRIP,UNKNOWN,Villers-Cotterêts,Quesnoy-le-Montant,
STT088427,Je prefere le train,NOT_TRIP,FRENCH,,,
STT001791,Hep Melun vers Maromme,TRIP,FRENCH,Melun,Maromme,
STT038552,[silence] ok donc namps - quaisvauvillers vers carnoles,TRIP,FRENCH,Namps - Quevauvillers,Carnoles,
